threshold,share
0.710215,0.208584
0.710215,0.207894
0.711286,0.206536
0.711286,0.205178
0.712374,0.203820
0.712374,0.201772
0.713445,0.200392
0.713445,0.199034
0.714516,0.197676
0.714516,0.196318
0.715587,0.194938
0.715587,0.193580
0.716132,0.192912
0.716132,0.191532
0.717747,0.189484
0.717747,0.188126
0.718274,0.187458
0.718274,0.186078
0.719362,0.184720
0.719362,0.184030
0.720433,0.182672
0.720433,0.181314
0.721504,0.179956
0.721504,0.178598
0.722575,0.177218
0.722575,0.175860
0.723664,0.174502
0.723664,0.173145
0.724191,0.172454
0.724191,0.171097
0.725262,0.169716
0.725262,0.169049
0.726350,0.167691
0.726350,0.166310
0.727421,0.164953
0.727421,0.164262
0.727965,0.163595
0.727965,0.162237
0.729036,0.160857
0.729036,0.160189
0.730107,0.158809
0.730107,0.157451
0.731178,0.156093
0.731178,0.154735
0.732267,0.153377
0.732267,0.152687
0.733338,0.151329
0.733338,0.149949
0.734409,0.148591
0.734409,0.147923
0.734953,0.147233
0.734953,0.145875
0.735480,0.145185
0.736551,0.143827
0.736551,0.142469
0.737640,0.141089
0.737640,0.139731
0.738166,0.139041
0.739255,0.137683
0.739255,0.136325
0.740326,0.134967
0.740326,0.133587
0.740853,0.132919
0.741941,0.131561
0.741941,0.130181
0.743012,0.128823
0.743012,0.128133
0.744083,0.126775
0.744083,0.125417
0.745698,0.123369
0.745698,0.122702
0.746769,0.121321
0.746769,0.119963
0.747858,0.118606
0.747858,0.117248
0.748929,0.115868
0.748929,0.115200
0.749456,0.114510
0.750544,0.113152
0.750544,0.111794
0.751071,0.111104
0.752160,0.109746
0.752160,0.109056
0.753231,0.107698
0.753231,0.106340
0.753757,0.105650
0.754846,0.104292
0.754846,0.103602
0.755373,0.102912
0.756444,0.101554
0.756444,0.100886
0.757532,0.099506
0.757532,0.098838
0.758059,0.098148
0.758603,0.097480
0.759674,0.096100
0.759674,0.095432
0.761289,0.093384
0.761289,0.092694
0.762360,0.091336
0.762360,0.090646
0.763449,0.089288
0.763449,0.088598
0.765047,0.086572
0.765047,0.085882
0.766662,0.083834
0.766662,0.083144
0.767206,0.082476
0.768277,0.081118
0.768277,0.080428
0.770437,0.077690
0.770437,0.077022
0.770964,0.076332
0.771508,0.075664
0.772052,0.074974
0.772579,0.074284
0.773123,0.073616
0.773650,0.072926
0.774194,0.072259
0.775809,0.070211
0.775809,0.069521
0.776336,0.068830
0.776880,0.067473
0.777425,0.067473
0.780111,0.064067
0.780638,0.063377
0.781182,0.062709
0.784413,0.058613
0.784939,0.057923
0.786028,0.056565
0.786028,0.055897
0.786555,0.055897
0.789241,0.052491
0.789785,0.052491
0.790329,0.051801
0.790856,0.051111
0.791400,0.050443
0.791945,0.049753
0.792471,0.049063
0.793016,0.048395
0.793542,0.048395
0.798388,0.042251
0.798933,0.042251
0.800004,0.040893
0.800530,0.040203
0.801075,0.039535
0.801619,0.038845
0.802146,0.038155
0.802690,0.037487
0.803234,0.036797
0.803761,0.036797
0.804305,0.036129
0.804832,0.036129
0.805920,0.034749
0.806447,0.034749
0.806991,0.034081
0.807536,0.033391
0.808062,0.033391
0.808607,0.032701
0.809133,0.032701
0.809678,0.032033
0.810222,0.031343
0.810749,0.031343
0.811293,0.030675
0.811837,0.030675
0.812364,0.029985
0.812908,0.029295
0.813435,0.029295
0.813979,0.028627
0.814523,0.028627
0.815050,0.027937
0.815594,0.027937
0.816121,0.027247
0.816665,0.026579
0.817210,0.026579
0.817736,0.025889
0.818281,0.025889
0.818825,0.025221
0.819352,0.025221
0.819896,0.024531
0.820423,0.024531
0.820967,0.023841
0.822038,0.023841
0.822582,0.023174
0.823127,0.023174
0.823653,0.022483
0.824198,0.022483
0.824724,0.021816
0.825269,0.021816
0.825813,0.021126
0.826340,0.020435
0.827428,0.020435
0.827955,0.019768
0.828499,0.019768
0.829026,0.019078
0.829570,0.019078
0.830114,0.018387
0.830641,0.018387
0.831185,0.017720
0.832256,0.017720
0.832801,0.017030
0.833327,0.017030
0.833872,0.016362
0.834943,0.016362
0.835487,0.015672
0.836014,0.015672
0.836558,0.014982
0.837629,0.014982
0.838173,0.014314
0.838718,0.014314
0.839244,0.013624
0.840315,0.013624
0.840860,0.012934
0.841931,0.012934
0.842475,0.012266
0.844617,0.012266
0.845161,0.011576
0.846232,0.011576
0.846776,0.010908
0.848918,0.010908
0.849463,0.010218
0.851078,0.010218
0.851622,0.009528
0.853220,0.009528
0.853764,0.008860
0.855380,0.008860
0.855906,0.008170
0.857522,0.008170
0.858066,0.007480
0.861296,0.007480
0.861823,0.006812
0.864509,0.006812
0.865054,0.006122
0.867740,0.006122
0.868284,0.005454
0.871515,0.005454
0.872042,0.004764
0.875272,0.004764
0.875799,0.004074
0.878503,0.004074
0.879574,0.003406
0.883875,0.003406
0.884402,0.002716
0.890319,0.002716
0.890863,0.002026
0.896236,0.002026
0.896780,0.001358
0.906998,0.001358
0.907525,0.000668
0.944624,0.000668
0.944624,0.000000
1.000000,0.000000
